Payout Date,Consignor,,Issued By,Payout Type,Total Payout,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,Category,,
Cat Zelda,$3.00,06-03-2025,15386,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,$3.00,06-05-2025,15431,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,$3.00,06-05-2025,15437,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Cowboy,$3.00,06-07-2025,15503,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,$3.00,06-07-2025,15515,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hello Kitty,$3.00,06-08-2025,15555,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pompom,$3.00,06-10-2025,15604,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Cats,$3.00,06-11-2025,15642,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,$3.00,06-11-2025,15642,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Keroppi,$3.00,06-11-2025,15642,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,$3.00,06-11-2025,15643,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Cinnamoroll,$3.00,06-11-2025,15643,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,$3.00,06-11-2025,15643,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,$3.00,06-13-2025,15695,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,$3.00,06-13-2025,15695,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny My Melody,$3.00,06-13-2025,15695,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Crybabies,$3.00,06-13-2025,15696,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Cats,$3.00,06-13-2025,15701,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,$3.00,06-13-2025,15716,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi,$3.00,06-14-2025,15748,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,$3.00,06-15-2025,15778,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,$3.00,06-17-2025,15830,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Boba,$3.00,06-18-2025,15854,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Keroppi,$3.00,06-19-2025,15880,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,$3.00,06-19-2025,15902,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi Keychain,$12.00,06-19-2025,15917,75.00%,$12.00,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,$3.00,06-20-2025,15950,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bead Wristlet,$8.00,06-21-2025,15972,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
Bead Wristlet,$8.00,06-21-2025,15973,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Ribbon,$3.00,06-21-2025,16030,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba My Melody,$3.00,06-21-2025,16030,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Stamp,$3.00,06-21-2025,16031,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Boba,$3.00,06-22-2025,16062,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,$3.00,06-22-2025,16073,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Flower,$3.00,06-26-2025,16198,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,$3.00,06-26-2025,16204,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,$3.00,06-27-2025,16238,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Flower,$3.00,06-27-2025,16241,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Stamp,$3.00,06-28-2025,16287,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,$3.00,06-28-2025,16303,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hangyodon,$3.00,06-29-2025,16358,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Cowboy,$3.00,06-29-2025,16366,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,$3.00,06-30-2025,16383,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Shiki Cowboy,$3.00,06-30-2025,16404,75.00%,$3.00,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$172.00,$3.58,48,$79.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Eliza Andrada - 03E,,Annie Zhou,Print List,$383.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
Zebra print lingerie,$30.00,06-25-2025,16179,80.00%,$30.00,,$24.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
vintage suzie tank top,$15.00,06-25-2025,16179,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
Union Bay brown cargo capris,$30.00,06-25-2025,16186,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
vintage union bay camo cargo pants,$55.00,06-27-2025,16227,80.00%,$55.00,,$44.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,
White seductivewear lingerie top,$30.00,06-28-2025,16269,80.00%,$30.00,,$24.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
y2k cross tank top,$20.00,06-30-2025,16381,80.00%,$20.00,,$16.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
Black laced tank top with bows,$15.00,06-30-2025,16389,80.00%,$15.00,,$12.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Aquamarine VS lingerie,$20.00,06-01-2025,15341,80.00%,$20.00,,$16.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
White front tying long sleeve cardigan,$25.00,06-01-2025,15348,80.00%,$25.00,,$20.00,Cardigans,,,,,,,,,,,,,,,,,,,,,,,,
Pink floral lingerie,$15.00,06-03-2025,15397,80.00%,$15.00,,$12.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Black Lingerie,$25.00,06-06-2025,15470,80.00%,$25.00,,$20.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
USF hoodie,$50.00,06-07-2025,15507,80.00%,$50.00,,$40.00,Hoodies,,,,,,,,,,,,,,,,,,,,,,,,
Bandeau pink and grey top,$30.00,06-07-2025,15531,80.00%,$30.00,,$24.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
Disney tinkerbell shirt,$18.00,06-08-2025,15559,80.00%,$18.00,,$14.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Grey fitted button up blouse,$20.00,06-09-2025,15594,80.00%,$20.00,,$16.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
Jean Jacket,$40.00,06-10-2025,15597,80.00%,$40.00,,$32.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
Dereon Jeans,$30.00,06-10-2025,15600,80.00%,$30.00,,$24.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,
Liz Claiborne Tee,$20.00,06-10-2025,15609,80.00%,$20.00,,$16.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Jean Jacket,$35.00,06-12-2025,15689,80.00%,$35.00,,$28.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
Red and Black Halter Corset,$48.00,06-13-2025,15711,80.00%,$48.00,,$38.40,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Sugar hooker tank top,$20.00,06-14-2025,15769,80.00%,$20.00,,$16.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Turquoise Y2K Floral Top,$28.00,06-15-2025,15803,80.00%,$28.00,,$22.40,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Floral cami top,$32.00,06-16-2025,15808,80.00%,$32.00,,$25.60,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Brown bordeaux longsleeve,$20.00,06-16-2025,15814,80.00%,$20.00,,$16.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
Grey basics top,$18.00,06-16-2025,15819,80.00%,$18.00,,$14.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Turquoise and Black Corset Top,$35.00,06-20-2025,15935,80.00%,$35.00,,$28.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Solola pants,$30.00,06-20-2025,15959,80.00%,$30.00,,$24.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,
Bulzeye top,$50.00,06-21-2025,15991,80.00%,$50.00,,$40.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,
Cream distressed longsleeve,$15.00,06-21-2025,15999,80.00%,$15.00,,$12.00,Long Sleeves,,,,,,,,,,,,,,,,,,,,,,,,
Blue express tank,$23.00,06-21-2025,16024,80.00%,$23.00,,$18.40,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,
Purple Victoria Secret lacey top,$30.00,06-21-2025,16036,80.00%,$30.00,,$24.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Klein Jeans jean jacket,$45.00,06-24-2025,16151,80.00%,$45.00,,$36.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$917.00,$28.66,32,$383.60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Erica Eao - 044,,Annie Zhou,Print List,$117.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
super round bunny charm,$10.00,06-02-2025,15370,75.00%,$10.00,,$7.50,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
neko kitty yakisoba sticker,$4.00,06-03-2025,15378,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
super round bunny charm,$10.00,06-03-2025,15392,75.00%,$10.00,,$7.50,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
neko kitty yakisoba sticker,$4.00,06-07-2025,15503,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
green guy laying dog postcard print,$8.00,06-08-2025,15538,75.00%,$8.00,,$6.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,
condensed moo sticker,$4.00,06-08-2025,15548,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
holographic melo chiffon cake,$4.00,06-09-2025,15580,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-10-2025,15595,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-10-2025,15595,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - tiger,$8.00,06-10-2025,15595,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
green guy laying dog postcard print,$8.00,06-12-2025,15675,75.00%,$8.00,,$6.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,
mystery sonny sticker pack,$12.00,06-12-2025,15675,75.00%,$12.00,,$9.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-12-2025,15680,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
melon soda bunny sticker,$4.00,06-12-2025,15690,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
soup girls forever sticker,$4.00,06-12-2025,15690,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-14-2025,15742,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-15-2025,15781,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - frog,$8.00,06-15-2025,15781,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
green guy grape drink sticker,$4.00,06-28-2025,16287,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,$8.00,06-29-2025,16359,75.00%,$8.00,,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,,
green guy sitting cat postcard print,$8.00,06-30-2025,16398,75.00%,$8.00,,$6.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,
green guy laying dog postcard print,$8.00,06-30-2025,16398,75.00%,$8.00,,$6.00,Prints,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$156.00,$7.09,22,$117.00,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Gaby Sandoval - 03W,,Annie Zhou,Print List,$217.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,$4.00,06-01-2025,15361,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Jake Angel Sticker,$4.00,06-03-2025,15401,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,$4.00,06-04-2025,15406,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Stomp on 'em sticker,$4.00,06-04-2025,15420,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,$4.00,06-05-2025,15432,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Cinna Pure Evil Sticker,$4.00,06-05-2025,15432,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-05-2025,15445,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-05-2025,15453,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,$4.00,06-07-2025,15496,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ladybug Sticker,$4.00,06-07-2025,15497,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Cinna Pure Evil Sticker,$4.00,06-08-2025,15543,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,$4.00,06-08-2025,15545,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Bite me Sticker,$4.00,06-08-2025,15565,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,$4.00,06-10-2025,15604,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ladybug Sticker,$4.00,06-10-2025,15624,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-10-2025,15627,75.00%,$15.00,,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-10-2025,15628,75.00%,$15.00,,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,$4.00,06-10-2025,15628,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Keroppi Sticker,$4.00,06-11-2025,15642,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-11-2025,15642,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,$4.00,06-11-2025,15650,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-12-2025,15675,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Purrfect Match Card,$6.00,06-12-2025,15690,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Eat the rich Sticker,$4.00,06-14-2025,15730,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-14-2025,15730,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,$4.00,06-14-2025,15742,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Stomp on 'em sticker,$4.00,06-14-2025,15748,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,$4.00,06-14-2025,15748,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Cherry kuma sticker,$4.00,06-14-2025,15748,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
You're a Rare Find,$6.00,06-14-2025,15750,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-15-2025,15788,75.00%,$15.00,,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,$4.00,06-16-2025,15818,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Berry Much Card,$6.00,06-17-2025,15834,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,$4.00,06-17-2025,15841,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Berry Much Card,$6.00,06-19-2025,15878,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-19-2025,15880,75.00%,$15.00,,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,
Keroppi Sticker,$4.00,06-19-2025,15880,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,$4.00,06-19-2025,15880,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,$4.00,06-20-2025,15947,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,$6.00,06-20-2025,15950,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Delight Card,$6.00,06-20-2025,15951,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,$4.00,06-21-2025,16002,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Miffy Angel Keychain,$12.00,06-21-2025,16030,75.00%,$12.00,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-21-2025,16039,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Pompom Huh? Sticker,$4.00,06-21-2025,16039,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-22-2025,16075,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-22-2025,16075,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,$4.00,06-22-2025,16077,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-22-2025,16079,75.00%,$6.00,,-$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,$4.00,06-22-2025,16080,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-22-2025,16099,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-22-2025,16100,75.00%,$4.00,,-$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Star Keychain,$12.00,06-23-2025,16127,75.00%,$12.00,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,
Stomp on 'em sticker,$4.00,06-24-2025,16155,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,$4.00,06-24-2025,16155,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
You are Acceptable Card,$6.00,06-25-2025,16170,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-25-2025,16171,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,$4.00,06-26-2025,16204,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,$4.00,06-26-2025,16205,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,$4.00,06-26-2025,16205,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Star Bubble Sticker,$4.00,06-26-2025,16209,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Heart Bubble Sticker,$4.00,06-26-2025,16209,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Keroppi Sticker,$4.00,06-26-2025,16213,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,$6.00,06-27-2025,16222,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-27-2025,16232,75.00%,$15.00,,$11.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,$15.00,06-27-2025,16236,75.00%,$15.00,,$11.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-27-2025,16238,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,$4.00,06-28-2025,16287,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Jake Angel Sticker,$4.00,06-28-2025,16287,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Me when You're not with me Card,$6.00,06-28-2025,16287,75.00%,$6.00,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,
Ladybug Sticker,$4.00,06-28-2025,16318,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,$4.00,06-29-2025,16359,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,$4.00,06-29-2025,16360,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,$4.00,06-30-2025,16404,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,$4.00,06-30-2025,16404,75.00%,$4.00,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$410.00,$5.47,75,$217.50,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Jacob Siu-Zmuidzinas - 00U,,Annie Zhou,Print List,$22.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
Santos Neymar T-shirt XXL,$38.00,06-01-2025,15336,80.00%,$38.00,,$30.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Graphic Shorts M,$34.00,06-12-2025,15669,80.00%,$34.00,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
Blue TsingTao Shorts XL,$34.00,06-13-2025,15706,80.00%,$34.00,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Graphic Shorts S,$34.00,06-22-2025,16067,80.00%,$34.00,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Graphic Shorts S,$34.00,06-26-2025,16210,80.00%,$34.00,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,
Chinaton Curiosities Beige shirt L,$42.00,06-28-2025,16276,80.00%,$42.00,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$216.00,$36.00,6,$22.80,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-30-2025,Jade Le - 029,,Annie Zhou,Print List,$264.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,
