Payout Date,Issued By,Consignor,Total Payout,,,,,,,,,,,,,Category,,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,Category,
This and yap Sticker,14147,$4.00,$4.00,04-23-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,14181,$4.00,$4.00,04-25-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,14196,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,14196,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,14199,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,14199,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,14199,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Keychain,14216,$12.00,$12.00,04-26-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Cinna Pure Evil Sticker,14219,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,14219,$4.00,$4.00,04-26-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,14246,$4.00,$4.00,04-27-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,14254,$4.00,$4.00,04-27-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,14254,$4.00,$4.00,04-27-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry kuma sticker,14267,$4.00,$4.00,04-27-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$284.00,$4.98,57,$213.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Jacob Siu-Zmuidzinas - 00U,$272.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue TsingTao Shorts S,13539,$34.00,$34.00,04-02-2025,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Archive 2024 T-shirt S,13636,$42.00,$42.00,04-05-2025,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Blue TsingTao Shorts M,13709,$34.00,$34.00,04-06-2025,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
Tintin x Chinatown White Mesh shorts  M,13733,$34.00,$34.00,04-08-2025,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Sky Bison T-shirt M,13736,$42.00,$42.00,04-08-2025,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown Curiosities Beige shirt XL,13816,$42.00,$42.00,04-12-2025,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Chinaton Curiosities Beige shirt L,13846,$42.00,$42.00,04-13-2025,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Santos Neymar T-shirt XL,13846,$38.00,$38.00,04-13-2025,,$30.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Opera Mask Black shorts L,13880,$34.00,$34.00,04-14-2025,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
Santos Neymar T-shirt XXL,13933,$38.00,$38.00,04-17-2025,,$30.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Santos Neymar T-shirt S,13954,$38.00,$38.00,04-18-2025,,$30.40,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Blue TsingTao Shorts M,14037,$34.00,$34.00,04-19-2025,,$27.20,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Bazaar shirt XL,14181,$34.00,$34.00,04-25-2025,,$27.20,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Sky Bison T-shirt L,14227,$42.00,$42.00,04-26-2025,,$33.60,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$528.00,$37.71,14,$30.17,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Jade Le - 029,$296.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,13530,$3.00,$3.00,04-01-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz Special,13543,$2.50,$2.50,04-02-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,13577,$3.00,$3.00,04-03-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate,13577,$2.00,$2.00,04-03-2025,,$1.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stay Hyphy,13603,$2.50,$2.50,04-04-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Super Rush,13603,$3.50,$3.50,04-04-2025,,$2.63,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,13611,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate Shirt - Small,13612,$35.00,$35.00,04-05-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate Shirt - Medium,13612,$35.00,$35.00,04-05-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,13644,$3.00,$3.00,04-05-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate Shirt - Small,13661,$35.00,$35.00,04-05-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Ride Or Die,13668,$2.50,$2.50,04-06-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Dre Locket,13668,$2.50,$2.50,04-06-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphy Wifey Ring,13668,$2.50,$2.50,04-06-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Dre Keychain,13668,$12.00,$12.00,04-06-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Made In The Yay - Black Tote,13703,$15.00,$15.00,04-06-2025,,$11.25,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
Super Rush,13718,$3.50,$3.50,04-07-2025,,$2.63,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,13749,$3.00,$3.00,04-09-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Positive Vibes Only,13749,$2.50,$2.50,04-09-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hyphy Wifey Ring,13749,$2.50,$2.50,04-09-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Dre Keychain,13773,$12.00,$12.00,04-11-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket Pin,13784,$12.00,$12.00,04-11-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,13785,$3.00,$3.00,04-11-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
415,13798,$2.50,$2.50,04-12-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hella,13798,$2.50,$2.50,04-12-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hella,13818,$2.50,$2.50,04-12-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,13818,$3.00,$3.00,04-12-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Tryna Learn,13830,$2.50,$2.50,04-12-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Rooted,13830,$2.50,$2.50,04-12-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Get Out Of My Swamp,13842,$15.00,$15.00,04-13-2025,,$11.25,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
Bruh,13853,$2.50,$2.50,04-13-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Dre Locket,13853,$2.50,$2.50,04-13-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Grown In The Bay,13891,$2.50,$2.50,04-15-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Hella,13891,$2.50,$2.50,04-15-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Catting Off,13891,$2.50,$2.50,04-15-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stay Hyphy,13922,$2.50,$2.50,04-17-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz or Die,13922,$2.50,$2.50,04-17-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate,13922,$2.00,$2.00,04-17-2025,,$1.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz Special,13922,$2.50,$2.50,04-17-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
California Poppy Love,13990,$2.50,$2.50,04-19-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Respect or Expect,13990,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bruh,13992,$2.50,$2.50,04-19-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,14000,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket Keychain,14005,$12.00,$12.00,04-19-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Bruh,14005,$2.50,$2.50,04-19-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,14039,$3.00,$3.00,04-19-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate Shirt - Medium,14060,$35.00,$35.00,04-20-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate,14068,$2.00,$2.00,04-20-2025,,$1.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bruh,14068,$2.50,$2.50,04-20-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Ride Or Die,14077,$2.50,$2.50,04-20-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,14080,$3.00,$3.00,04-20-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Catting Off,14103,$2.50,$2.50,04-21-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stop Catting Off,14103,$2.50,$2.50,04-21-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Ride Or Die,14111,$2.50,$2.50,04-21-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket Keychain,14112,$12.00,$12.00,04-21-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadamean,14131,$2.50,$2.50,04-22-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Respect or Expect,14131,$3.00,$3.00,04-22-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Stay Hyphy,14153,$2.50,$2.50,04-24-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz or Die,14153,$2.50,$2.50,04-24-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
You Feel Me,14154,$2.50,$2.50,04-24-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Super Rush,14169,$3.50,$3.50,04-25-2025,,$2.63,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
415,14177,$2.50,$2.50,04-25-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,14180,$3.00,$3.00,04-25-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate - XL,14195,$35.00,$35.00,04-26-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Yadadamean,14197,$2.50,$2.50,04-26-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz or Die,14197,$2.50,$2.50,04-26-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,14208,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Reserved For Your Mom,14209,$3.00,$3.00,04-26-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,14246,$3.00,$3.00,04-27-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket Pin,14256,$12.00,$12.00,04-27-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
BART Car,14256,$2.50,$2.50,04-27-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Rooted,14301,$2.50,$2.50,04-27-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Made In The Yay -  Pink Tote,14321,$15.00,$15.00,04-28-2025,,$11.25,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
BART Ticket,14331,$3.00,$3.00,04-29-2025,,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Bruh,14343,$2.50,$2.50,04-30-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
SF Golden Gate Shirt - Medium,14348,$35.00,$35.00,05-01-2025,,$26.25,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
Thizz or Die,14351,$2.50,$2.50,05-01-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Mac Dre Locket,14351,$2.50,$2.50,05-01-2025,,$1.88,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$494.50,$6.34,78,$371.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Jasmine Nguyen - 02P,$58.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
I Loaf You Cat Card,13597,$6.00,$6.00,04-04-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
You Tried Pin,13685,$12.00,$12.00,04-06-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Bakery Tote Bag,13839,$25.00,$25.00,04-13-2025,,$18.75,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado Sticker,13990,$4.00,$4.00,04-19-2025,,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Lettuce Birthday Card,14057,$6.00,$6.00,04-20-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Meow and furever card,14116,$6.00,$6.00,04-21-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
I Loaf You Cat Card,14169,$6.00,$6.00,04-25-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Bread Loaf Sticky Notes,14230,$5.00,$5.00,04-26-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Roll Sticky Notes,14230,$5.00,$5.00,04-26-2025,,$3.75,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Cup of Tea Card,14231,$6.00,$6.00,04-26-2025,,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,,,
Baguette Pin,14332,$12.00,$12.00,04-29-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
Bread Loaf Pin,14332,$12.00,$12.00,04-29-2025,,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$105.00,$8.75,12,$78.75,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Julia Baran - 02F,$302.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k geometric strapless sweetheart dress,13548,$24.00,$24.00,04-02-2025,,$18.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
y2k rock revival bootcut jeans - size 28,13602,$79.00,$79.00,04-04-2025,,$59.25,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
y2k wet seal bootcut khakis,13671,$48.00,$48.00,04-06-2025,,$36.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
wool floral applique cardigan,13686,$28.00,$28.00,04-06-2025,,$21.00,Cardigans,,,,,,,,,,,,,,,,,,,,,,,,,
y2k hudson bootcut jeans - made in usa,13802,$59.00,$59.00,04-12-2025,,$44.25,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
graphic crop tank,13828,$18.00,$18.00,04-12-2025,,$13.50,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
y2k grey lace cami,13832,$29.00,$29.00,04-12-2025,,$21.75,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
y2k striped baby tee,13844,$10.00,$10.00,04-13-2025,,$7.50,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
y2k nike baby baseball tee,13881,$24.00,$24.00,04-14-2025,,$18.00,Tees,,,,,,,,,,,,,,,,,,,,,,,,,
90s dkny nylon crossbody bag,13904,$28.00,$28.00,04-15-2025,,$21.00,Bags,,,,,,,,,,,,,,,,,,,,,,,,,
y2k blue shimmer dress - made in usa,13918,$48.00,$48.00,04-16-2025,,$36.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
90s f21 black high neck cropped tank,13920,$30.00,$30.00,04-17-2025,,$22.50,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,,,
abercrombie down puffer vest,13971,$19.00,$19.00,04-18-2025,,$14.25,Vests,,,,,,,,,,,,,,,,,,,,,,,,,
y2k brown embroidered maxi skirt,14006,$34.00,$34.00,04-19-2025,,$25.50,Skirts,,,,,,,,,,,,,,,,,,,,,,,,,
2000s ae denim mini,14040,$32.00,$32.00,04-19-2025,,$24.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,,,
y2k f21 boho cotton skirt,14053,$26.00,$26.00,04-19-2025,,$19.50,Skirts,,,,,,,,,,,,,,,,,,,,,,,,,
y2k f21 floral silk babydoll top,14148,$32.00,$32.00,04-24-2025,,$24.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,,,
y2k green floral babydoll dress,14148,$28.00,$28.00,04-24-2025,,$21.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
floral sheer ruffle dress,14168,$30.00,$30.00,04-25-2025,,$22.50,Dresses,,,,,,,,,,,,,,,,,,,,,,,,,
rock revival bootcut jeans size 28,14292,$79.00,$79.00,04-27-2025,,$59.25,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
y2k rock revival bootcut jeans size 26,14292,$59.00,$59.00,04-27-2025,,$44.25,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
90s lee mom jeans,14297,$39.00,$39.00,04-27-2025,,$29.25,Jeans ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$803.00,$36.50,22,$602.25,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Kenza Alaoui - 01Y,$148.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-tarnish Charm Necklace Tier 2,13724,$27.00,$27.00,04-07-2025,,$20.25,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
Strawberry Kiwi Earrings,13784,$25.00,$25.00,04-11-2025,,$18.75,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonfruit and Papaya,13784,$40.00,$40.00,04-11-2025,,$30.00,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Charm Earrings,13844,$18.00,$18.00,04-13-2025,,$13.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Non-tarnish Charm Necklace Tier 2,13912,$27.00,$27.00,04-16-2025,,$20.25,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
Non-tarnish Charm Necklace Tier 2,14028,$27.00,$27.00,04-19-2025,,$20.25,Necklaces,,,,,,,,,,,,,,,,,,,,,,,,,
Simple Charm Earrings,14060,$18.00,$18.00,04-20-2025,,$13.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Charm Earrings Tier 2,14079,$22.00,$22.00,04-20-2025,,$16.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonfruit and Orange Quarter,14101,$30.00,$30.00,04-21-2025,,$22.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Petal Square Earrings,14268,$30.00,$30.00,04-27-2025,,$22.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
Fig Earrings,14270,$34.00,$34.00,04-27-2025,,$25.50,Earrings,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$298.00,$27.09,11,$223.50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30-2025,Annie Zhou,Kira Wanderella - 041,$120.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Aged Price,Sold,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13577,$5.00,$5.00,04-03-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13577,$5.00,$5.00,04-03-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker Sheet by @Wanderellaco,13577,$10.00,$10.00,04-03-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Air Freshener by @wanderellaco,13597,$8.00,$8.00,04-04-2025,,$6.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker Sheet by @Wanderellaco,13678,$10.00,$10.00,04-06-2025,,$7.50,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13744,$5.00,$5.00,04-09-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13756,$5.00,$5.00,04-09-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13757,$5.00,$5.00,04-09-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13757,$5.00,$5.00,04-09-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13804,$5.00,$5.00,04-12-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13804,$5.00,$5.00,04-12-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13834,$5.00,$5.00,04-13-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13838,$5.00,$5.00,04-13-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13838,$5.00,$5.00,04-13-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13903,$5.00,$5.00,04-15-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13923,$5.00,$5.00,04-17-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13925,$5.00,$5.00,04-17-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13925,$5.00,$5.00,04-17-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13925,$5.00,$5.00,04-17-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13951,$5.00,$5.00,04-18-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13951,$5.00,$5.00,04-18-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,13951,$5.00,$5.00,04-18-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14021,$5.00,$5.00,04-19-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14021,$5.00,$5.00,04-19-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14021,$5.00,$5.00,04-19-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14021,$5.00,$5.00,04-19-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14027,$5.00,$5.00,04-19-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14055,$5.00,$5.00,04-20-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14056,$5.00,$5.00,04-20-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14060,$5.00,$5.00,04-20-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Air Freshener by @wanderellaco,14062,$8.00,$8.00,04-20-2025,,$6.00,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14069,$5.00,$5.00,04-20-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14088,$5.00,$5.00,04-20-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
Waterproof Sticker by @wanderellaco,14130,$5.00,$5.00,04-22-2025,,$3.75,Stickers,,,,,,,,,,,,,,,,,,,,,,,,,
