Payout Date,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,Category,,Categories,
Carhartt brwn Carpenter Ed 14,18729,$79.99,80.00%,$79.99,,08-21-2025,$63.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,18875,$36.99,80.00%,$36.99,,08-24-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Corset Ed 2,18911,$34.99,80.00%,$34.99,,08-25-2025,$27.99,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Afghan coat Ed 6,18943,$99.99,80.00%,$99.99,,08-27-2025,$79.99,Coats,,,,,,,,,,,,,,,,,,,,,,,
Corset Ed 2,18957,$34.99,80.00%,$34.99,,08-27-2025,$27.99,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Corset Ed 2,18967,$34.99,80.00%,$34.99,,08-28-2025,$27.99,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Y2K flare denim Ed 12,18978,$54.99,80.00%,$54.99,,08-28-2025,$43.99,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,19002,$36.99,80.00%,$36.99,,08-29-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Carhartt Daily Tote Ed 2,19026,$69.99,80.00%,$69.99,,08-29-2025,$55.99,Bags,,,,,,,,,,,,,,,,,,,,,,,
Corset Ed 2,19030,$34.99,80.00%,$34.99,,08-30-2025,$27.99,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
T.S. leather moto Ed 9,19047,$149.99,80.00%,$149.99,,08-30-2025,$119.99,Jackets,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,19099,$36.99,80.00%,$36.99,,08-30-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Corset Ed 2,19117,$34.99,80.00%,$34.99,,08-31-2025,$27.99,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,19150,$36.99,80.00%,$36.99,,08-31-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,19151,$36.99,80.00%,$36.99,,08-31-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Shorts/skirt Ed,19151,$36.99,80.00%,$36.99,,08-31-2025,$29.59,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
,,"$1,524.74",$58.64,26,,Total Paid:,$869.74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Elaine Jing Candle - 03K,Print List,$82.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
2 fo 40 Candles Lychee and Osmathus,18379,$40.00,75.00%,$40.00,,08-13-2025,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 matcha blossom and lychee jelly,18533,$40.00,75.00%,$40.00,,08-16-2025,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,
Banana Milk - 8oz,18676,$25.00,75.00%,$25.00,,08-20-2025,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 - thai tea & masala chai,18682,$40.00,75.00%,$40.00,,08-20-2025,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,
Lotus Blossom - 8oz,19113,$25.00,75.00%,$25.00,,08-31-2025,$18.75,Candles,,,,,,,,,,,,,,,,,,,,,,,
2 for 40 - 2 matcha,19170,$40.00,75.00%,$40.00,,08-31-2025,$30.00,Candles,,,,,,,,,,,,,,,,,,,,,,,
,,$210.00,$35.00,10,,Total Paid:,$82.50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Elaine Li - 03L,Print List,$134.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,17786,$3.00,75.00%,$3.00,,08-01-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Pompom,17794,$3.00,75.00%,$3.00,,08-01-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Miffy Flower,17801,$3.00,75.00%,$3.00,,08-01-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,17819,$3.00,75.00%,$3.00,,08-01-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,17831,$3.00,75.00%,$3.00,,08-02-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,17831,$3.00,75.00%,$3.00,,08-02-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty Keychain,17915,$12.00,75.00%,$12.00,,08-03-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,17928,$3.00,75.00%,$3.00,,08-03-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Cowboy,17928,$3.00,75.00%,$3.00,,08-03-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty Keychain,17972,$12.00,75.00%,$12.00,,08-04-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,18066,$3.00,75.00%,$3.00,,08-06-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,18066,$3.00,75.00%,$3.00,,08-06-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Stamp,18083,$3.00,75.00%,$3.00,,08-07-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,18083,$3.00,75.00%,$3.00,,08-07-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,18126,$3.00,75.00%,$3.00,,08-07-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,18126,$3.00,75.00%,$3.00,,08-07-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,18136,$3.00,75.00%,$3.00,,08-08-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Keroppi,18136,$3.00,75.00%,$3.00,,08-08-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,18172,$3.00,75.00%,$3.00,,08-08-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,18172,$3.00,75.00%,$3.00,,08-08-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny My Melody,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Anarchy,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Yuki,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi,18223,$3.00,75.00%,$3.00,,08-09-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,18243,$3.00,75.00%,$3.00,,08-10-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hello Kitty,18243,$3.00,75.00%,$3.00,,08-10-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,18243,$3.00,75.00%,$3.00,,08-10-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,18328,$3.00,75.00%,$3.00,,08-12-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,18351,$3.00,75.00%,$3.00,,08-12-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hello Kitty,18351,$3.00,75.00%,$3.00,,08-12-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,18368,$3.00,75.00%,$3.00,,08-13-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Miffy IG Post Sticker,18432,$3.00,75.00%,$3.00,,08-15-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,18495,$3.00,75.00%,$3.00,,08-16-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi,18504,$3.00,75.00%,$3.00,,08-16-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi Keychain,18511,$12.00,75.00%,$12.00,,08-16-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,18517,$3.00,75.00%,$3.00,,08-16-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,18536,$3.00,75.00%,$3.00,,08-16-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Plant,18554,$3.00,75.00%,$3.00,,08-16-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty Keychain,18595,$12.00,75.00%,$12.00,,08-17-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,18599,$3.00,75.00%,$3.00,,08-17-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi Keychain,18787,$12.00,75.00%,$12.00,,08-23-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Boba Cinnamoroll,18811,$3.00,75.00%,$3.00,,08-23-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,18833,$3.00,75.00%,$3.00,,08-23-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny My Melody,18833,$3.00,75.00%,$3.00,,08-23-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Kuromi,18833,$3.00,75.00%,$3.00,,08-23-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba My Melody,18889,$3.00,75.00%,$3.00,,08-24-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Mimi,18909,$3.00,75.00%,$3.00,,08-25-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Kuromi,18954,$3.00,75.00%,$3.00,,08-27-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Crybabies,18954,$3.00,75.00%,$3.00,,08-27-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco Keychain,18981,$12.00,75.00%,$12.00,,08-28-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,19015,$3.00,75.00%,$3.00,,08-29-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pochacco,19019,$3.00,75.00%,$3.00,,08-29-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Cinnamoroll,19066,$3.00,75.00%,$3.00,,08-30-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bunny Pompom,19081,$3.00,75.00%,$3.00,,08-30-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,19105,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Zelda,19107,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cat Shiki,19107,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Boba Hello Kitty,19124,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Boba,19124,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Shiki Ramen,19124,$3.00,75.00%,$3.00,,08-31-2025,$2.25,Stickers,,,,,,,,,,,,,,,,,,,,,,,
,,$246.00,$3.84,64,,Total Paid:,$134.50,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Eliza Andrada - 03E,Print List,$412.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
Pink Laura Ashley lingerie cami top,17784,$20.00,80.00%,$20.00,,08-01-2025,$16.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Deadstock Dreamgirl lingerie set new with tags #5481,17848,$45.00,80.00%,$45.00,,08-02-2025,$36.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Floral Sheer Long Dress,17917,$20.00,80.00%,$20.00,,08-03-2025,$16.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,
Jean star jeans,17977,$30.00,80.00%,$30.00,,08-04-2025,$24.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Deadstock Dreamgirl lingerie set new with tags #4903,17993,$55.00,80.00%,$55.00,,08-05-2025,$44.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Cherokee Jean jacket,18021,$35.00,80.00%,$35.00,,08-05-2025,$28.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
Woven cream blouse,18197,$25.00,80.00%,$25.00,,08-09-2025,$20.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
Gemini blue blouse,18256,$25.00,80.00%,$25.00,,08-10-2025,$20.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
Brittania stripped jeans,18268,$35.00,80.00%,$35.00,,08-10-2025,$28.00,Jeans ,,,,,,,,,,,,,,,,,,,,,,,
Juicy Couture brown zip up,18279,$65.00,80.00%,$65.00,,08-10-2025,$52.00,Jackets,,,,,,,,,,,,,,,,,,,,,,,
Deadstock Dreamgirl lingerie set new with tags #3261,18303,$45.00,80.00%,$45.00,,08-11-2025,$36.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Long Jean skirt,18379,$30.00,80.00%,$30.00,,08-13-2025,$24.00,Skirts,,,,,,,,,,,,,,,,,,,,,,,
Pink and white stripped blouse,18497,$15.00,80.00%,$15.00,,08-16-2025,$12.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
MSRU top,18497,$50.00,80.00%,$50.00,,08-16-2025,$40.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
Pink SF State university merch,18553,$45.00,80.00%,$45.00,,08-16-2025,$36.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
White lacey cami top,18695,$25.00,80.00%,$25.00,,08-20-2025,$20.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Grey vest with a hood,18821,$35.00,80.00%,$35.00,,08-23-2025,$28.00,Vests,,,,,,,,,,,,,,,,,,,,,,,
Black Catherine Malandrino dress,18829,$40.00,80.00%,$40.00,,08-23-2025,$32.00,Dresses,,,,,,,,,,,,,,,,,,,,,,,
Pink Berlin top,18830,$25.00,80.00%,$25.00,,08-23-2025,$20.00,Tees,,,,,,,,,,,,,,,,,,,,,,,
Pink with black lacing undercover Lingerie Dress,18830,$25.00,80.00%,$25.00,,08-23-2025,$20.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
Blue BCBGMaxazria cami top,18871,$32.00,80.00%,$32.00,,08-24-2025,$25.60,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
Early 2000's F21 cream halter top,18961,$32.00,80.00%,$32.00,,08-28-2025,$25.60,Blouses,,,,,,,,,,,,,,,,,,,,,,,
Grey floral y2k wrapped blouse,18991,$45.00,80.00%,$45.00,,08-28-2025,$36.00,Blouses,,,,,,,,,,,,,,,,,,,,,,,
Express black laced cami top,19037,$30.00,80.00%,$30.00,,08-30-2025,$24.00,Tank tops ,,,,,,,,,,,,,,,,,,,,,,,
Red and Black lingerie,19094,$32.00,80.00%,$32.00,,08-30-2025,$25.60,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
White with brown detailing skirt,19116,$27.00,80.00%,$27.00,,08-31-2025,$21.60,Skirts,,,,,,,,,,,,,,,,,,,,,,,
White Levis jean shorts,19127,$35.00,80.00%,$35.00,,08-31-2025,$28.00,Shorts/Jorts,,,,,,,,,,,,,,,,,,,,,,,
Cheetah print Lingerie Dress,19154,$30.00,80.00%,$30.00,,08-31-2025,$24.00,Lingerie,,,,,,,,,,,,,,,,,,,,,,,
,,$953.00,$34.04,28,,Total Paid:,$412.40,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Erica Eao - 044,Print List,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - frog,17809,$8.00,75.00%,$8.00,,08-01-2025,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - tiger,17872,$8.00,75.00%,$8.00,,08-02-2025,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - tiger,18150,$8.00,75.00%,$8.00,,08-08-2025,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,18168,$8.00,75.00%,$8.00,,08-08-2025,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,
lucky animal charm - bunny,18588,$8.00,75.00%,$8.00,,08-17-2025,$6.00,Phone Charms,,,,,,,,,,,,,,,,,,,,,,,
,,$40.00,$8,5,,Total Paid:,$30.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Gaby Sandoval - 03W,Print List,$202.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,17780,$15.00,75.00%,$15.00,,08-01-2025,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,17791,$15.00,75.00%,$15.00,,08-01-2025,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,
Miffy Angel Keychain,17850,$12.00,75.00%,$12.00,,08-02-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,17857,$4.00,75.00%,$4.00,,08-02-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,17857,$4.00,75.00%,$4.00,,08-02-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Smiski Heart Hands sticker,17869,$4.00,75.00%,$4.00,,08-02-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Keychain,17883,$12.00,75.00%,$12.00,,08-02-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Miffy Angel Keychain,17915,$12.00,75.00%,$12.00,,08-03-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Cherry Kuma Keychain,17915,$12.00,75.00%,$12.00,,08-03-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Jake Angel Sticker,18051,$4.00,75.00%,$4.00,,08-06-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,18083,$4.00,75.00%,$4.00,,08-07-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Poo Brain Sticker Sheet,18084,$9.99,75.00%,$9.99,,08-07-2025,$7.49,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18101,$4.00,75.00%,$4.00,,08-07-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18101,$4.00,75.00%,$4.00,,08-07-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18101,$4.00,75.00%,$4.00,,08-07-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,18122,$15.00,75.00%,$15.00,,08-07-2025,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,
Keroppi Sticker,18125,$4.00,75.00%,$4.00,,08-07-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Kirb B*tch Sticker,18143,$4.00,75.00%,$4.00,,08-08-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
You are Acceptable Card,18153,$6.00,75.00%,$6.00,,08-08-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
Miffy Angel Keychain,18276,$12.00,75.00%,$12.00,,08-10-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,18307,$4.00,75.00%,$4.00,,08-11-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Me when You're not with me Card,18309,$6.00,75.00%,$6.00,,08-11-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
Smiski Heart Hands sticker,18317,$4.00,75.00%,$4.00,,08-11-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18317,$4.00,75.00%,$4.00,,08-11-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18317,$4.00,75.00%,$4.00,,08-11-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Smiski Heart Hands sticker,18351,$4.00,75.00%,$4.00,,08-12-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cherry kuma sticker,18368,$4.00,75.00%,$4.00,,08-13-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog sticker,18488,$4.00,75.00%,$4.00,,08-16-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
This and yap Sticker,18527,$4.00,75.00%,$4.00,,08-16-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ladybug Sticker,18527,$4.00,75.00%,$4.00,,08-16-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Cherry Kuma Keychain,18579,$12.00,75.00%,$12.00,,08-17-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18595,$4.00,75.00%,$4.00,,08-17-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or die sticker,18595,$4.00,75.00%,$4.00,,08-17-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,18609,$4.00,75.00%,$4.00,,08-17-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Eat the rich Sticker,18638,$4.00,75.00%,$4.00,,08-19-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ladybug Sticker,18638,$4.00,75.00%,$4.00,,08-19-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,18638,$4.00,75.00%,$4.00,,08-19-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Pompom Huh? Sticker,18639,$4.00,75.00%,$4.00,,08-19-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Eat the rich Sticker,18654,$4.00,75.00%,$4.00,,08-19-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
You are Acceptable Card,18690,$6.00,75.00%,$6.00,,08-20-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
Poo Brain Sticker Sheet,18691,$9.99,75.00%,$9.99,,08-20-2025,$7.49,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Bmo Frog,18696,$12.00,75.00%,$12.00,,08-20-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Gimme Whatever Mystery Bags,18735,$15.00,75.00%,$15.00,,08-21-2025,$11.25,Misc. Accessories,,,,,,,,,,,,,,,,,,,,,,,
Just Farted Tomato Sticker,18812,$4.00,75.00%,$4.00,,08-23-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Berry Much Card,18873,$6.00,75.00%,$6.00,,08-24-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
Cherry kuma sticker,18889,$4.00,75.00%,$4.00,,08-24-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Hangyoden Da Fuq Sticker,18897,$4.00,75.00%,$4.00,,08-25-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Smiski Heart Hands sticker,18897,$4.00,75.00%,$4.00,,08-25-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Just Farted Tomato Sticker,18906,$4.00,75.00%,$4.00,,08-25-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Eat the rich Sticker,18939,$4.00,75.00%,$4.00,,08-27-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,18939,$4.00,75.00%,$4.00,,08-27-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Me when You're not with me Card,18995,$6.00,75.00%,$6.00,,08-29-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
I'm a delight sticker,19081,$4.00,75.00%,$4.00,,08-30-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Smiski Ur Cool Card,19093,$6.00,75.00%,$6.00,,08-30-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
Usahana Scream sticker,19097,$4.00,75.00%,$4.00,,08-30-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Marcy and PB bunny shirt Sticker,19113,$4.00,75.00%,$4.00,,08-31-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Star Keychain,19135,$12.00,75.00%,$12.00,,08-31-2025,$9.00,Keychains,,,,,,,,,,,,,,,,,,,,,,,
Jake Popcorn sticker,19154,$4.00,75.00%,$4.00,,08-31-2025,$3.00,Stickers,,,,,,,,,,,,,,,,,,,,,,,
Ride or Die Card,19174,$6.00,75.00%,$6.00,,08-31-2025,$4.50,Stationery,,,,,,,,,,,,,,,,,,,,,,,
,,$369.98,$6.27,$59.00,,Total Paid:,$202.48,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-2025,Annie Zhou,Jacob Siu-Zmuidzinas - 00U,Print List,$592.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,,,,,,,,,,,,,,,,
